city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
NEERKANT,818,7.97,100,0.328,2019
NEERLANGEL,28,10.72,100,0.013,2018
NEERLANGEL,14,14.29,100,0.005,2019
NEERLANGEL,14,14.29,100,0.005,2020
NEERLOON,89,10.58,100,0.061,2018
NEERLOON,89,11.45,100,0.062,2019
NEERLOON,89,13.95,100,0.063,2020
NETERSEL,386,14.5,100,0.111,2019
NETERSEL,395,19.72,100,0.105,2020
NETERSEL,392,9.97,100,0.112,2018
NIEUW-VOSSEMEER,1132,19.53,100,0.256,2020
NIEUW-VOSSEMEER,1118,13.88,100,0.267,2019
NIEUW-VOSSEMEER,1119,11.83,100,0.271,2018
"NIEUWENDIJK NB",1622,11.32,100,0.33,2018
"NIEUWENDIJK NB",1659,21.26,100,0.314,2020
"NIEUWENDIJK NB",1630,15.44,100,0.326,2019
NIEUWKUIJK,990,5.33,100,0.394,2018
NIEUWKUIJK,997,10.21,100,0.389,2020
NIEUWKUIJK,991,6.73,100,0.399,2019
NISPEN,697,12.25,100,0.241,2019
NISPEN,696,18.41,100,0.241,2020
NISPEN,698,8.18,100,0.242,2018
NISTELRODE,2611,14.85,100,0.847,2020
NISTELRODE,2556,7.45,100,0.916,2018
NISTELRODE,2564,9.75,100,0.892,2019
NOORDHOEK,447,15.27,100,0.104,2019
NOORDHOEK,446,11.09,100,0.107,2018
NOORDHOEK,446,20.85,100,0.103,2020
NUENEN,10651,9.29,100,2.397,2018
NUENEN,10800,16.12,100,2.309,2020
NUENEN,10682,11.77,100,2.364,2019
NULAND,1758,7.42,100,0.528,2018
NULAND,1786,10.62,100,0.512,2019
NULAND,1831,18.17,100,0.5,2020
ODILIAPEEL,852,21.06,100,0.338,2020
ODILIAPEEL,830,11.48,100,0.35,2019
ODILIAPEEL,821,7.47,100,0.355,2018
OEFFELT,1022,9.17,100,0.285,2018
OEFFELT,1020,12.69,100,0.28,2019
OEFFELT,994,17.44,100,0.267,2020
OIJEN,488,6.72,100,0.183,2018
OIJEN,503,13.61,100,0.192,2019
OIJEN,502,19.63,100,0.18,2020
OIRLO,477,16.23,100,0.237,2019
OIRLO,476,12.18,100,0.23,2018
OIRLO,475,21.02,100,0.222,2020
OIRSCHOT,5575,13,100,1.289,2020
OIRSCHOT,5587,9.42,100,1.312,2019
OIRSCHOT,5532,7,100,1.319,2018
OISTERWIJK,9351,9.26,100,2.235,2020
